tAutorizacion(ms), tConsulta(ms),fallas
11,5,0
12,9,
11,5,
13,4,
19,4,
8,7,
12,5,
16,6,
10,10,
9,6,
7,5,
7,7,
8,5,
15,3,
9,4,
11,3,
17,5,
11,3,
20,4,
6,6,
9,4,
10,3,
11,4,
24,36,
55,9,
19,5,
7,7,
14,32,
30,11,
15,15,
19,6,
15,9,
11,6,
15,13,
7,16,
17,19,
10,5,
7,14,
10,3,
7,3,
22,18,
17,3,
6,6,
10,3,
84,7,
11,3,
6,3,
10,14,
11,3,
31,10,
7,3,
6,3,
9,9,
11,8,
13,5,
8,3,
13,89,
8,5,
13,4,
58,9,
20,22,
11,6,
40,3,
13,4,
25,3,
13,15,
6,4,
13,3,
11,27,
6,3,
32,13,
10,3,
15,8,
9,5,
9,5,
12,13,
43,16,
15,6,
16,8,
9,7,
15,12,
